source_id	source_name	license	format	relative_path	origin	approval_status	notes
microsoft_markitdown_tests	Microsoft MarkItDown tests	needs_review	docx	sources/markitdown/test.docx	https://github.com/microsoft/markitdown	approved	curated from Microsoft MarkItDown tests
microsoft_markitdown_tests	Microsoft MarkItDown tests	needs_review	docx	sources/markitdown/rlink.docx	https://github.com/microsoft/markitdown	approved	minimal docx smoke
microsoft_markitdown_tests	Microsoft MarkItDown tests	needs_review	xlsx	sources/markitdown/test.xlsx	https://github.com/microsoft/markitdown	approved	xlsx table/sheet signal
microsoft_markitdown_tests	Microsoft MarkItDown tests	needs_review	pptx	sources/markitdown/test.pptx	https://github.com/microsoft/markitdown	approved	pptx slide/image/table signal
microsoft_markitdown_tests	Microsoft MarkItDown tests	needs_review	pptx	sources/markitdown/test.pptx	https://github.com/microsoft/markitdown	approved	small PPTX external reference for image alt text plus nearby caption
microsoft_markitdown_tests	Microsoft MarkItDown tests	needs_review	pptx	sources/markitdown/test.pptx	https://github.com/microsoft/markitdown	approved	small PPTX external reference for table extraction
microsoft_markitdown_tests	Microsoft MarkItDown tests	needs_review	pptx	sources/markitdown/test.pptx	https://github.com/microsoft/markitdown	approved	small PPTX external reference for grouped shape text flattening
microsoft_markitdown_tests	Microsoft MarkItDown tests	needs_review	pptx	sources/markitdown/test.pptx	https://github.com/microsoft/markitdown	approved	small PPTX external reference for cached chart data extraction via RichTable lowering
microsoft_markitdown_tests	Microsoft MarkItDown tests	needs_review	html	sources/markitdown/test_blog.html	https://github.com/microsoft/markitdown	approved	html article signal
mdn_content_pages	mdn_content_pages	CC-BY-SA	html	sources/mdn/html/mdn_main_element.html	https://developer.mozilla.org/en-US/docs/Web/HTML/Reference/Elements/main	approved	MDN content page captured locally after license review; exercises role/main-content selection without pulling site chrome into output
mdn_content_pages	mdn_content_pages	CC-BY-SA	html	sources/mdn/html/mdn_article_element.html	https://developer.mozilla.org/en-US/docs/Web/HTML/Reference/Elements/article	approved	MDN content page captured locally after license review; exercises article/content wrapper selection on a real documentation page
microsoft_markitdown_tests	Microsoft MarkItDown tests	needs_review	html	sources/markitdown-repo/packages/markitdown/tests/test_files/test_serp.html	https://github.com/microsoft/markitdown	approved	Local-only SERP redirect-unwrapping guard on upstream MarkItDown HTML fixture; catches Bing tracking-wrapper leakage and keeps canonical/relative href lowering stable
microsoft_markitdown_tests	Microsoft MarkItDown tests	needs_review	epub	sources/markitdown/test.epub	https://github.com/microsoft/markitdown	approved	epub chapter ordering signal
microsoft_markitdown_tests	Microsoft MarkItDown tests	needs_review	epub	sources/markitdown/test.epub	https://github.com/microsoft/markitdown	approved	Local-only EPUB chapter/body-order guard on upstream MarkItDown sample; catches spine-order drift, duplicate headings, or dropped list/blockquote blocks
idpf_epub_testsuite	idpf_epub_testsuite	CC-BY-4.0	epub	sources/idpf-epub-testsuite/epub/epub30-test-0100.epub	https://github.com/IDPF/epub-testsuite/tree/main/content/30/epub30-test-0100	approved	CC-BY-4.0 IDPF EPUB Test Suite sample repacked locally from the official exploded package; exercises XHTML spine order plus remote manifest multimedia sidecars that must not abort lower-layer package open
idpf_epub_testsuite	idpf_epub_testsuite	CC-BY-4.0	epub	sources/idpf-epub-testsuite/epub/epub30-test-0101.epub	https://github.com/IDPF/epub-testsuite/tree/main/content/30/epub30-test-0101	approved	CC-BY-4.0 IDPF EPUB Test Suite sample repacked locally from the official exploded package; useful external control for EPUB spine/nav ordering plus list-heavy XHTML chapters
idpf_epub_testsuite	idpf_epub_testsuite	CC-BY-4.0	epub	sources/idpf-epub-testsuite/epub/epub30-test-0102.epub	https://github.com/IDPF/epub-testsuite/tree/main/content/30/epub30-test-0102	approved	CC-BY-4.0 IDPF EPUB Test Suite sample repacked locally from the official exploded package; exposed an OPF parser robustness issue where commented-out manifest items must stay ignored rather than duplicating live ids
idpf_epub_testsuite	idpf_epub_testsuite	CC-BY-4.0	epub	sources/idpf-epub-testsuite/epub/epub30-test-0102.epub	https://github.com/IDPF/epub-testsuite/tree/main/content/30/epub30-test-0102	approved	Local-only strong scripting/spine guard on the IDPF 0102 EPUB sample; catches reordered scripting/forms sections, commented-manifest leakage, or raw markup bleed beyond the earlier broad contains-all row
idpf_epub_testsuite	idpf_epub_testsuite	CC-BY-4.0	epub	sources/idpf-epub-testsuite/epub/epub30-test-0110.epub	https://github.com/IDPF/epub-testsuite/tree/main/content/30/epub30-test-0110	approved	CC-BY-4.0 IDPF EPUB Test Suite sample with long-form XHTML chapters and layout-flow frontmatter; useful positive control for large spine sections after package-open hardening
idpf_epub_testsuite	idpf_epub_testsuite	CC-BY-4.0	epub	sources/idpf-epub-testsuite/epub/epub30-test-0140.epub	https://github.com/IDPF/epub-testsuite/tree/main/content/30/epub30-test-0140	approved	CC-BY-4.0 IDPF EPUB Test Suite sample with intra-publication CFI links, external publication links, and a commented-out optional block; useful external guard that comment tails do not leak into normal Markdown while visible links stay intact
idpf_epub_testsuite	idpf_epub_testsuite	CC-BY-4.0	epub	sources/idpf-epub-testsuite/epub/epub30-test-0150.epub	https://github.com/IDPF/epub-testsuite/tree/main/content/30/epub30-test-0150	approved	CC-BY-4.0 IDPF EPUB Test Suite sample with nav-in-spine content, landmarks/page-list/custom-nav prose, and fragment-bearing target documents; useful external guard for EPUB nav/text aggregation after package-open hardening
idpf_epub_testsuite	idpf_epub_testsuite	CC-BY-4.0	epub	sources/idpf-epub-testsuite/epub/epub30-test-0150.epub	https://github.com/IDPF/epub-testsuite/tree/main/content/30/epub30-test-0150	approved	Local-only strong nav/spine guard on the IDPF 0150 EPUB sample; catches reordered nav-in-spine sections, leaked markup, and duplicate nav headings beyond the earlier broad contains-all row
microsoft_markitdown_tests	Microsoft MarkItDown tests	needs_review	pdf	sources/markitdown/test.pdf	https://github.com/microsoft/markitdown	approved	text-pdf reference with degraded spacing
